teamName,mds_score1,mds_score2,MDS_2cluster,MDS_3cluster,MDS_4cluster,MDS_5cluster,pca_score1,pca_score2,PCA_2cluster,PCA_3cluster,PCA_4cluster,PCA_5cluster,tsne_score1,tsne_score2,tSNE_2cluster,tSNE_3cluster,tSNE_3cluster,tSNE_4cluster,tSNE_5cluster
Borussia Mgladbach,0.5644750922082463,-0.027626167135585522,0,0,1,0,0.18765936122434024,-0.5373906438156515,0,0,0,1,6.2926483,168.40623,1,2,3,2
Werder Bremen,-1.0919859069758582,-0.6457063378172727,0,1,3,1,-1.1806036281061276,0.7998756797003654,0,2,3,4,-54.35186,-139.6225,0,0,1,4
Bayer Leverkusen,-0.18597463607343898,1.653568375605332,1,0,0,3,1.3864303892525844,0.5916213835112807,1,0,1,3,250.4481,215.27806,1,1,0,0
Borussia Dortmund,0.31813109932124034,1.7479700899865334,1,0,0,3,2.039200301064984,0.6151789197015609,1,0,1,3,187.60251,161.85693,1,1,0,0
Bayern Munchen,2.7030969579693434,5.290033972885326,1,2,2,2,6.543921532847983,-1.1337075202012343,1,1,2,2,331.44604,268.1999,1,1,0,0
Stuttgart,1.4212310493435165,-0.6849190147136465,0,0,1,0,-0.6121975914524659,-1.378986111638402,0,2,0,1,-49.711983,124.17186,1,2,3,2
Schalke 04,-0.8411425655028587,1.822636558754747,1,0,0,3,1.3726455117212828,1.0994224806273183,1,0,1,3,312.86234,175.22997,1,1,0,0
Hannover 96,0.13051138080443972,-1.375396173353343,0,1,1,4,-1.117615962987054,-0.46822948403992426,0,2,0,1,-128.3746,-64.18178,0,0,1,1
Hertha BSC,-1.4060862800797285,0.06895372827795837,0,1,3,1,-0.5367982149955778,1.3620167475273637,0,2,3,4,33.965153,-121.56802,0,0,1,4
Wolfsburg,-2.3477836444766518,-1.480473977501215,0,1,3,1,-2.0739961629374855,1.689678219096715,0,2,3,4,-126.1511,-244.13364,0,0,1,1
Hamburger SV,0.3139074591329268,-2.779152905431324,0,1,1,4,-2.6834484793771582,-1.2581661124416026,0,2,0,0,-283.42807,-144.79776,0,0,2,3
Freiburg,-1.133173992750412,-1.488232288714766,0,1,3,1,-2.0607855941236086,0.5847023279804408,0,2,3,4,-130.03662,-176.00595,0,0,1,1
Hoffenheim,-0.43547860665279065,1.8233082642301137,1,0,0,3,1.8631156165034652,1.0081110620842508,1,0,1,3,256.72873,148.54729,1,1,0,0
Augsburg,-0.6644683156094449,-0.5191279652029858,0,1,3,1,-0.7960689972811502,0.4694980945416592,0,2,3,4,-19.833134,-87.08321,0,0,1,4
Mainz 05,-0.031182090852663408,-1.33873867029179,0,1,1,4,-1.3517852268026154,-0.5083840667977992,0,2,0,1,-168.62547,-101.57361,0,0,1,1
Eintracht Frankfurt,0.9819297680196486,-0.018458598292482135,0,0,1,0,0.22150454218521654,-0.8904980571781596,0,0,0,1,14.620259,110.69179,1,2,3,2
Koln,1.0230138404131002,-2.849710974559755,0,1,1,4,-2.3807086492813805,-1.683693838961237,0,2,0,0,-302.2442,-92.81587,0,0,2,3
RB Leipzig,0.6809793917613856,0.8010720832741555,1,0,0,0,1.1795312525447688,-0.3610490796969442,1,0,1,3,109.731384,157.14119,1,2,3,2
