teamName,mds_score1,mds_score2,MDS_2cluster,MDS_3cluster,MDS_4cluster,MDS_5cluster,pca_score1,pca_score2,PCA_2cluster,PCA_3cluster,PCA_4cluster,PCA_5cluster,tsne_score1,tsne_score2,tSNE_2cluster,tSNE_3cluster,tSNE_3cluster,tSNE_4cluster,tSNE_5cluster
SPAL,-1.890100942611947,-1.5658002253633212,0,0,0,4,-1.454749757531501,1.9968504088752463,0,0,0,3,1.9372165,-37.79143,0,1,0,3
Milan,1.1422594128231367,-0.7882835381811978,1,1,2,1,1.0724549837921535,0.527494219871853,1,1,2,4,15.6457405,68.22564,1,0,2,2
Juventus,3.688447403401579,0.5621460310875213,1,2,1,3,3.8402828147485053,-1.404786264059598,1,2,1,2,30.108477,110.889694,1,2,1,0
Roma,1.908577668548919,-0.2176220215179302,1,2,1,1,1.8707078612878651,-0.19093105571170094,1,1,2,4,18.426083,84.762535,1,2,1,0
Sassuolo,-1.2190688267406564,-0.40302216092581383,0,0,0,0,-1.708026243895692,0.9196237150590779,0,0,0,3,-13.511018,-33.03271,0,1,0,3
Bologna,-1.4627597707018447,0.9885482676505636,0,0,3,2,-1.6400015767112817,-0.5990842842352144,0,0,3,1,-33.916046,-44.29599,0,1,3,1
Sampdoria,0.1109383960164925,0.7174377865057597,0,0,3,0,0.27091045781712264,-0.8722536815124617,1,1,2,4,-18.442184,-16.76486,0,1,0,3
Chievo,-1.8919588530805993,-0.2946525719610292,0,0,0,0,-1.7882501356915466,0.7496729418491088,0,0,0,3,-12.154706,-49.00111,0,1,0,3
Lazio,2.8265749744634627,-1.0890553345313154,1,2,1,3,3.3661903999964857,-0.21993903145215163,1,2,1,2,17.711374,114.85685,1,2,1,0
Udinese,-0.42318369864072614,1.7391798210949592,0,0,3,2,-1.050629423022885,-1.3528992318123365,0,0,3,1,-33.74326,-75.184105,0,1,3,1
Internazionale,1.5535196991756963,-1.623197902151085,1,1,2,1,2.213091280231762,0.940293913849637,1,1,2,4,5.3692293,79.37658,1,0,2,2
Benevento,-1.9626528462628792,2.5666727666609255,0,0,3,2,-2.5350297232396617,-1.6654376753240834,0,0,3,1,-65.84719,-51.949245,0,1,3,4
Cagliari,-1.7389403372818741,1.0315011581634526,0,0,3,2,-2.1910045729354746,-0.46490751508599665,0,0,3,1,-38.515488,-55.16871,0,1,3,1
Atalanta,0.9166718859674259,-1.4737182993124776,1,1,2,1,1.2835602288478365,1.0634869024408828,1,1,2,4,0.6447576,64.88564,1,0,2,2
Fiorentina,0.5210237517949512,-0.3444016648866244,1,1,2,1,0.5172495191598246,0.224741780526097,1,1,2,4,10.247484,55.027973,1,0,2,2
Torino,-0.36934231235303544,-2.1977021870468287,1,1,2,4,0.3688391454538733,2.141395059796786,1,1,2,0,-8.570357,54.294697,1,0,2,2
Napoli,3.4636457865524353,-0.18321110166304683,1,2,1,3,3.7045235190265333,-0.8070892424856331,1,2,1,2,27.606499,98.363556,1,2,1,0
Crotone,-1.4705999149903266,0.4459737917330759,0,0,0,0,-1.6447119685027802,0.04000250526229972,0,0,0,3,-24.835125,-54.419613,0,1,0,1
Hellas Verona,-2.0256657022153557,1.8925238646812368,0,0,3,2,-2.886255480918095,-1.0860052132699007,0,0,3,1,-55.491096,-59.016754,0,1,3,4
Genoa,-1.6773857738648557,0.23668351996317677,0,0,0,0,-1.6091513279130434,0.05977174741808801,0,0,0,3,-7.534525,-64.09787,0,1,0,3
