MatchDay,Troyes,Olympique Lyonnais,PSG,Olympique Marseille,Nantes,Nice,Rennes,Strasbourg,Angers,Bordeaux,Dijon,Metz,Saint-Etienne,Lille,Caen,Toulouse,Montpellier,Guingamp,Amiens SC
gameWeek-0,0.058139534883720936,0.5523255813953488,0.5523255813953488,0.40697674418604657,0.20348837209302328,0.20348837209302328,0.0,0.0,0.029069767441860468,0.34883720930232553,0.029069767441860468,0.23255813953488375,0.37790697674418605,0.37790697674418605,0.029069767441860468,0.4651162790697675,0.11627906976744187,0.436046511627907,0.029069767441860468
gameWeek-1,0.23255813953488375,0.31976744186046513,0.7267441860465116,0.31976744186046513,0.029069767441860468,0.34883720930232553,0.08720930232558138,0.26162790697674415,0.34883720930232553,0.4941860465116279,0.14534883720930233,0.08720930232558138,0.23255813953488375,0.11627906976744187,0.08720930232558138,0.14534883720930233,0.0,0.0,0.0
gameWeek-2,0.08720930232558138,0.23255813953488375,0.7267441860465116,0.0,0.11627906976744187,0.7267441860465116,0.5232558139534883,0.17441860465116277,0.2906976744186046,0.4651162790697675,0.0,0.17441860465116277,0.029069767441860468,0.058139534883720936,0.34883720930232565,0.14534883720930233,0.14534883720930233,0.11627906976744187,0.0
gameWeek-3,0.26162790697674415,0.20348837209302326,0.29069767441860467,0.058139534883720936,0.0,0.14534883720930233,0.34883720930232553,0.08720930232558138,0.23255813953488375,0.5813953488372092,0.08720930232558138,0.0,0.11627906976744187,0.20348837209302328,0.31976744186046513,0.058139534883720936,0.11627906976744187,0.4651162790697675,0.14534883720930233
gameWeek-4,0.0,0.23255813953488375,0.8430232558139534,0.17441860465116277,0.20348837209302328,0.6395348837209303,0.26162790697674415,0.0,0.11627906976744187,0.029069767441860468,0.34883720930232553,0.17441860465116277,0.14534883720930233,0.029069767441860468,0.0,0.0,0.0,0.29069767441860467,0.029069767441860468
gameWeek-5,0.0,0.29069767441860467,0.058139534883720936,0.5813953488372093,0.14534883720930233,0.11627906976744187,0.029069767441860468,0.0,0.08720930232558138,0.34883720930232553,0.29069767441860467,0.436046511627907,0.17441860465116277,0.26162790697674415,0.08720930232558138,0.20348837209302328,0.26162790697674415,0.31976744186046513,0.08720930232558138
gameWeek-6,0.20348837209302328,0.29069767441860467,0.17441860465116277,0.5523255813953488,0.0,0.029069767441860468,0.14534883720930233,0.14534883720930233,0.23255813953488375,0.4651162790697675,0.20348837209302328,0.11627906976744187,0.0,0.0,0.0,0.11627906976744187,0.11627906976744187,0.17441860465116277,0.0
gameWeek-7,0.40697674418604657,0.23255813953488375,0.9883720930232558,0.31976744186046513,0.23255813953488375,0.37790697674418605,0.0,0.0,0.11627906976744187,0.26162790697674415,0.37790697674418605,0.0,0.0,0.0,0.23255813953488375,0.20348837209302328,0.0,0.4651162790697675,0.0
gameWeek-8,0.029069767441860468,0.4651162790697675,0.37790697674418605,0.37790697674418605,0.08720930232558138,0.29069767441860467,0.0,0.31976744186046513,0.14534883720930233,0.23255813953488375,0.14534883720930233,0.14534883720930233,0.11627906976744187,0.29069767441860467,0.11627906976744187,0.40697674418604657,0.058139534883720936,0.4941860465116279,0.0
gameWeek-9,0.058139534883720936,0.8430232558139534,0.26162790697674415,0.31976744186046513,0.0,0.26162790697674415,0.40697674418604657,0.6104651162790697,0.058139534883720936,0.11627906976744187,0.17441860465116277,0.058139534883720936,0.0,0.0,0.0,0.23255813953488375,0.37790697674418605,0.23255813953488375,0.17441860465116277
gameWeek-10,0.058139534883720936,0.4941860465116279,0.5813953488372093,0.14534883720930233,0.0,0.08720930232558138,0.29069767441860467,0.31976744186046513,0.17441860465116277,0.058139534883720936,0.14534883720930233,0.0,0.17441860465116277,0.23255813953488375,0.0,0.058139534883720936,0.0,0.23255813953488375,0.29069767441860467
gameWeek-11,0.4941860465116279,1.1337209302325582,0.8430232558139534,0.6976744186046511,0.23255813953488375,0.17441860465116282,0.11627906976744187,0.0,0.08720930232558138,0.0,0.029069767441860468,0.058139534883720936,0.029069767441860468,0.40697674418604657,0.029069767441860468,0.20348837209302328,0.17441860465116277,0.17441860465116277,0.029069767441860468
gameWeek-12,0.058139534883720936,0.14534883720930233,0.7848837209302326,0.029069767441860468,0.08720930232558138,0.436046511627907,0.11627906976744187,0.4651162790697675,0.0,0.0,0.6976744186046511,0.0,0.029069767441860468,0.4941860465116279,0.0,0.0,0.0,0.0,0.11627906976744187
gameWeek-13,0.34883720930232553,0.7848837209302326,0.4941860465116279,0.40697674418604657,0.0,0.08720930232558138,0.11627906976744187,0.14534883720930233,0.0,0.0,0.37790697674418605,0.029069767441860468,0.029069767441860468,0.029069767441860468,0.14534883720930233,0.029069767441860468,0.6686046511627908,0.0,0.20348837209302328
gameWeek-14,0.08720930232558138,0.14534883720930233,0.37790697674418605,0.5232558139534883,0.08720930232558138,0.26162790697674415,0.11627906976744187,0.029069767441860468,0.31976744186046513,0.26162790697674415,0.34883720930232553,0.029069767441860468,0.058139534883720936,0.34883720930232553,0.029069767441860468,0.0,0.20348837209302328,0.0,0.23255813953488375
gameWeek-15,0.0,0.5232558139534883,0.29069767441860467,0.058139534883720936,0.17441860465116277,0.4651162790697675,0.08720930232558138,0.14534883720930233,0.058139534883720936,0.17441860465116277,0.4651162790697675,0.23255813953488375,0.2616279069767442,0.11627906976744187,0.0,0.0,0.0,0.29069767441860467,0.11627906976744187
gameWeek-16,0.14534883720930233,0.34883720930232553,0.6104651162790697,0.6686046511627908,0.29069767441860467,0.37790697674418605,0.11627906976744187,0.29069767441860467,0.14534883720930233,0.0,0.0,0.058139534883720936,0.0,0.058139534883720936,0.11627906976744187,0.08720930232558138,0.37790697674418605,0.5813953488372093,0.29069767441860467
