firstName,lastName,wiId,averageScore,minutesPlayed,role
Francesco,Acerbi,20635,50.59000000000001,3420,Defender
Dylan,Lempereur,487983,0.37,136,Defender
Eugenio,Lamanna,21636,0,0,Goalkeeper
Valentino,Lazaro,208652,16.240000000000002,1859,Midfielder
Andrew ,Nabbout,238055,0.26,139,Forward
Johan Andrés,Mojica Palacio,91702,18.57,2520,Defender
Chima,Okoroji,330446,0,0,Defender
Leonardo,Carrilho Baptistão,7623,52.7,2668,Forward
Andreas Evald,Cornelius,135150,17.509999999999998,1068,Forward
Jay,Rodriguez,8958,34.92,2822,Forward
Enzo Alan,Zidane Fernández,279541,0,71,Midfielder
Rubén,Duarte Sánchez,225022,8.629999999999999,2149,Defender
Mauro Emanuel,Icardi Rivero ,206314,70.77000000000001,2971,Forward
Shane,Ferguson,7979,0.08,66,Midfielder
Olivier,Boscagli,296888,0,0,Defender
Lukas,Hinterseer,65124,0,0,Forward
Patrick,Burner,328488,9.089999999999998,883,Defender
Roger Beyker,Martínez Tobinson,267134,2.8200000000000003,225,Forward
Valentin Enrique,Pimentel Armuelles,361511,0,0,Midfielder
Lucas,Digne,25701,14.93,689,Defender
Ben Lhassine,Kone,530642,0,0,Midfielder
Moses,Makasi,379207,0,0,Midfielder
Danny ,Vieira da Costa,14772,14.89,1185,Defender
Valter,Birsa,21291,13.23,2487,Midfielder
Héctor Miguel,Herrera López,112459,2.69,360,Midfielder
Bořek,Dočkal,54375,0,71,Midfielder
Fabián,Ruiz Peña,346195,66.49999999999999,2662,Midfielder
Enzo Nicolás,Pérez,86234,0.98,195,Midfielder
Glenn ,Whelan,8744,0.36,180,Midfielder
Simone,Calvano,20403,2.52,629,Midfielder
Łukasz,Teodorczyk,99479,0.31,29,Forward
Alassane,Pléa,25410,75.39,3041,Forward
Maciej,Rybus,99391,2.34,180,Defender
Jordan,Pickford,10131,0,0,Goalkeeper
Ádám,Lang,76201,2.37,594,Defender
Xian,Emmers,412915,0,0,Midfielder
Piotr,Zieliński,99902,42.509999999999984,1970,Midfielder
Emmanuel,Imorou,70171,0,33,Defender
Ferland,Mendy,276979,32.27,2123,Defender
Fabian,Johnson,15804,3.25,435,Midfielder
Aymeric ,Laporte,134502,39.31,2517,Defender
Íñigo,Lekue Martínez,230862,13.370000000000001,2073,Defender
Jonathan,Leko,399517,0,0,Forward
Mariano Julio,Izco,21078,1.18,150,Midfielder
Ergys,Kaçe,93608,0,28,Midfielder
Ivan,Rakitić,3476,64.99000000000001,3855,Midfielder
Wojciech ,Szczęsny,7849,0,0,Goalkeeper
Dimitry,Bertaud,366528,0,0,Goalkeeper
Antonio Manuel,Luna Rodríguez,3464,9.24,2021,Defender
Niklas ,Lomb,18938,0,0,Goalkeeper
José María,Giménez de Vargas,227894,31.550000000000004,2028,Defender
Tristan,Dingomé,149062,3.19,1195,Midfielder
Daniel,Sturridge,7907,18.11,695,Forward
Carlos Arturo,Bacca Ahumada,37831,66.21000000000001,2601,Forward
Anthony,Mandrea,287521,0,0,Goalkeeper
Dénes,Dibusz,75331,0,0,Goalkeeper
Hakim,Ziyech,221039,1.7000000000000002,265,Midfielder
Gilles,Sunu,26044,2.33,585,Forward
Samuel Yves,Umtiti,25397,51.14000000000001,3029,Defender
Dimitri,Liénard,28990,9.9,2605,Midfielder
Stephan Kofi,Ambrosius,391603,0.54,46,Defender
Carlos Alberto,Sánchez Moreno,26518,11.1,1644,Midfielder
Ionuț Cristian,Săpunaru,70090,1.94,270,Defender
Hicham,Mahou,437011,0.02,40,Midfielder
Danilo Luiz,da Silva,70083,21.65,1426,Defender
Marcello,Gazzola,22152,1.04,743,Defender
Vincent,Thill,406156,0,26,Midfielder
Daniel,Amartey,217078,2.56,505,Midfielder
Fabrizio,Caligara,434142,0,18,Midfielder
Karim,Bellarabi,14786,23.35,1121,Midfielder
Jon,Guridi Aldalur,279566,0.09,36,Midfielder
Stefan,Posch,282799,7.44,757,Defender
Björn,Bergmann Sigurðarson,54495,0.11,38,Forward
Karim,Benzema,3321,73.51,2124,Forward
Jose Carlos,Sanchez Gonzalez,476095,0,0,Midfielder
Daichi,Kamada,365880,0.5700000000000001,145,Midfielder
Abdoulaye,Diallo,25633,0,0,Goalkeeper
Dominic,Calvert-Lewin,293687,44.60000000000001,1857,Forward
Hervé,Bazile,26069,1.6499999999999997,871,Forward
Marko,Dmitrović,140046,0,0,Goalkeeper
Timothy,Castagne,263803,15.299999999999999,1492,Defender
Jimmy,Giraudon,29291,20.969999999999995,2089,Defender
Brais,Méndez Portela,302550,16.2,952,Midfielder
Bruno Miguel,Boialvo Gaspar,222766,11.900000000000002,772,Defender
Alexander,Nábel,333477,0,0,Goalkeeper
