MatchDay,Celta de Vigo,Espanyol,Deportivo Alav?s,Levante,Getafe,Athletic Club,Atl?tico Madrid,Valencia,Real Madrid,Barcelona,Las Palmas,Legan?s,Eibar,Girona,Deportivo La Coru?a,Real Betis,Real Sociedad,Sevilla,M?laga,Villarreal
gameWeek-0,0.17441860465116277,0.14534883720930233,0.058139534883720936,0.11627906976744187,0.0,0.0,0.029069767441860468,0.34883720930232553,0.8430232558139537,0.20348837209302328,0.029069767441860468,0.29069767441860467,0.17441860465116277,0.26162790697674415,0.23255813953488375,0.08720930232558138,0.29069767441860467,0.058139534883720936,0.17441860465116277,0.17441860465116282
gameWeek-1,0.0,0.0,0.08720930232558138,0.0,0.08720930232558138,0.37790697674418605,0.4941860465116279,0.4651162790697675,0.20348837209302328,0.5232558139534883,0.14534883720930233,0.34883720930232553,0.029069767441860468,0.058139534883720936,0.34883720930232553,0.5232558139534883,0.29069767441860467,0.37790697674418605,0.029069767441860468,0.11627906976744187
gameWeek-2,0.17441860465116277,0.0,0.17441860465116277,0.20348837209302328,0.058139534883720936,0.436046511627907,0.08720930232558138,0.0,0.08720930232558138,1.0465116279069766,0.6395348837209303,0.20348837209302326,0.029069767441860468,0.029069767441860468,0.11627906976744187,0.26162790697674415,0.31976744186046513,0.6395348837209303,0.0,0.6104651162790697
gameWeek-3,0.08720930232558138,0.5813953488372093,0.14534883720930233,0.0,0.31976744186046513,0.23255813953488375,0.26162790697674415,0.34883720930232553,0.6395348837209303,0.4651162790697675,0.40697674418604657,0.058139534883720936,0.0,0.0,0.08720930232558138,0.6104651162790697,0.29069767441860467,0.40697674418604657,0.17441860465116277,0.37790697674418605
gameWeek-4,0.17441860465116277,0.0,0.11627906976744187,0.40697674418604657,0.0,0.29069767441860467,0.5813953488372093,0.8430232558139534,0.20348837209302328,0.7558139534883721,0.0,0.20348837209302328,0.29069767441860467,0.0,0.29069767441860467,0.37790697674418605,0.0,0.37790697674418605,0.14534883720930233,0.11627906976744187
gameWeek-5,0.436046511627907,0.5232558139534883,0.14534883720930233,0.0,0.058139534883720936,0.5813953488372093,0.26162790697674415,0.29069767441860467,0.5232558139534883,0.34883720930232553,0.4941860465116279,0.26162790697674415,0.0,0.08720930232558138,0.14534883720930233,0.872093023255814,0.14534883720930233,0.0,0.14534883720930233,0.0
gameWeek-6,0.7848837209302326,0.058139534883720936,0.31976744186046513,0.0,0.029069767441860468,0.31976744186046513,0.08720930232558138,0.4651162790697675,0.6686046511627908,0.6976744186046511,0.058139534883720936,0.08720930232558138,0.0,0.37790697674418605,0.34883720930232553,0.6104651162790697,0.436046511627907,0.20348837209302328,0.029069767441860468,0.40697674418604657
gameWeek-7,0.8430232558139534,0.11627906976744187,0.0,0.058139534883720936,0.14534883720930233,0.0,0.29069767441860467,0.5523255813953488,0.37790697674418605,0.436046511627907,0.17441860465116277,0.40697674418604657,0.08720930232558138,0.17441860465116277,0.26162790697674415,0.11627906976744187,0.31976744186046513,0.08720930232558138,0.0,0.4941860465116279
gameWeek-8,0.17441860465116277,0.11627906976744187,0.029069767441860468,0.29069767441860467,0.14534883720930233,0.029069767441860468,0.08720930232558138,0.7267441860465116,0.6104651162790697,0.436046511627907,0.08720930232558138,0.0,0.029069767441860468,0.20348837209302328,0.08720930232558138,0.40697674418604657,0.31976744186046513,0.23255813953488375,0.17441860465116277,0.436046511627907
gameWeek-9,0.17441860465116277,0.14534883720930233,0.0,0.29069767441860467,0.26162790697674415,0.20348837209302328,0.40697674418604657,0.20348837209302328,0.29069767441860467,0.37790697674418605,0.17441860465116277,0.0,0.0,0.29069767441860467,0.17441860465116277,0.17441860465116277,0.37790697674418605,0.40697674418604657,0.0,0.23255813953488375
gameWeek-10,0.6686046511627908,0.0,0.14534883720930233,0.11627906976744187,0.029069767441860468,0.058139534883720936,0.08720930232558138,0.34883720930232553,0.40697674418604657,0.4941860465116279,0.11627906976744187,0.058139534883720936,0.26162790697674415,0.26162790697674415,0.08720930232558138,0.058139534883720936,0.29069767441860467,0.14534883720930233,0.0,0.37790697674418605
gameWeek-11,0.17441860465116277,0.08720930232558138,0.08720930232558138,0.31976744186046513,0.436046511627907,0.058139534883720936,0.058139534883720936,0.14534883720930233,0.17441860465116277,0.6395348837209303,0.20348837209302328,0.058139534883720936,0.5232558139534883,0.08720930232558138,0.20348837209302328,0.17441860465116277,0.29069767441860467,0.37790697674418605,0.34883720930232553,0.2906976744186046
gameWeek-12,0.31976744186046513,0.058139534883720936,0.14534883720930233,0.0,0.058139534883720936,0.2906976744186046,0.930232558139535,0.17441860465116277,0.29069767441860467,0.436046511627907,0.058139534883720936,0.0,0.31976744186046513,0.37790697674418605,0.20348837209302328,0.14534883720930233,0.14534883720930233,0.34883720930232553,0.40697674418604657,0.436046511627907
