MatchDay,SPAL,Milan,Juventus,Roma,Sassuolo,Bologna,Sampdoria,Chievo,Lazio,Udinese,Internazionale,Benevento,Cagliari,Atalanta,Fiorentina,Torino,Napoli,Crotone,Hellas Verona,Genoa
gameWeek-0,0.029069767441860468,0.7267441860465116,0.5813953488372093,0.058139534883720936,0.058139534883720936,0.29069767441860467,0.37790697674418605,0.23255813953488375,0.4651162790697675,0.37790697674418605,0.6104651162790697,0.37790697674418605,0.0,0.08720930232558138,0.14534883720930233,0.029069767441860468,0.6976744186046511,0.0,0.0,0.08720930232558138
gameWeek-1,0.17441860465116277,0.40697674418604657,0.5232558139534883,0.23255813953488375,0.11627906976744187,0.058139534883720936,0.17441860465116277,0.14534883720930233,0.2906976744186046,0.058139534883720936,0.6976744186046511,0.058139534883720936,0.31976744186046513,0.14534883720930233,0.5232558139534883,0.4941860465116279,0.6104651162790697,0.08720930232558138,0.0,0.0
gameWeek-2,0.14534883720930233,0.26162790697674415,0.4941860465116279,0.11627906976744187,0.14534883720930233,0.0,0.029069767441860468,0.0,0.6686046511627908,0.08720930232558138,0.40697674418604657,0.17441860465116277,0.31976744186046513,0.31976744186046513,0.7848837209302326,0.31976744186046513,0.5523255813953488,0.058139534883720936,0.08720930232558138,0.0
gameWeek-3,0.029069767441860468,0.7848837209302326,0.37790697674418605,0.872093023255814,0.058139534883720936,0.11627906976744187,0.34883720930232553,0.26162790697674415,0.5232558139534883,0.17441860465116277,0.34883720930232553,0.0,0.20348837209302328,0.23255813953488375,0.23255813953488375,0.26162790697674415,1.0755813953488371,0.0,0.0,0.17441860465116277
gameWeek-4,0.17441860465116277,0.20348837209302326,0.40697674418604657,0.6395348837209303,0.08720930232558138,0.20348837209302328,0.20348837209302328,0.20348837209302328,0.14534883720930233,0.08720930232558138,0.058139534883720936,0.08720930232558138,0.029069767441860468,0.930232558139535,0.0,0.29069767441860467,0.6104651162790697,0.31976744186046513,0.17441860465116277,0.058139534883720936
gameWeek-5,0.31976744186046513,0.14534883720930233,0.7848837209302326,0.7848837209302326,0.0,0.029069767441860468,0.11627906976744187,0.37790697674418605,0.5232558139534883,0.14534883720930233,0.436046511627907,0.0,0.0,0.0,0.0,0.0,1.0465116279069766,0.4651162790697675,0.029069767441860468,0.0
gameWeek-6,0.058139534883720936,0.08720930232558138,0.40697674418604657,0.31976744186046513,0.31976744186046513,0.14534883720930233,0.0,0.436046511627907,0.436046511627907,0.34883720930232553,0.4651162790697675,0.26162790697674415,0.11627906976744187,0.20348837209302328,0.14534883720930233,0.4651162790697675,0.4651162790697675,0.37790697674418605,0.17441860465116282,0.17441860465116277
gameWeek-7,0.08720930232558138,0.40697674418604657,0.14534883720930233,0.0,0.11627906976744187,0.37790697674418605,0.7267441860465116,0.0,0.37790697674418605,0.26162790697674415,0.5523255813953488,0.0,0.34883720930232553,0.43604651162790703,0.20348837209302328,0.40697674418604657,0.4651162790697675,0.31976744186046513,0.029069767441860468,0.7848837209302326
gameWeek-8,0.029069767441860468,0.11627906976744187,0.5813953488372093,0.17441860465116277,0.08720930232558138,0.0,0.5232558139534883,0.29069767441860467,0.29069767441860467,0.029069767441860468,0.17441860465116277,0.0,0.08720930232558138,0.08720930232558138,0.6104651162790697,0.08720930232558138,0.23255813953488375,0.0,0.0,0.08720930232558138
gameWeek-9,0.17441860465116277,0.20348837209302328,0.34883720930232553,0.23255813953488375,0.029069767441860468,0.0,0.34883720930232553,0.11627906976744187,0.5232558139534883,0.17441860465116277,0.4941860465116279,0.0,0.08720930232558138,0.7267441860465116,0.5232558139534884,0.0,0.5523255813953488,0.14534883720930233,0.26162790697674415,0.43604651162790703
